"FREQ","R1(1)[X=0.00]","R1(1)[X=100m]","R1(1)[X=200m]","R1(1)[X=300m]","R1(1)[X=400m]","R1(1)[X=500m]","R1(1)[X=600m]","R1(1)[X=700m]","R1(1)[X=800m]","R1(1)[X=900m]","R1(1)[X=1.00]"
1009409.409,0.00256736,0.00256736,0.00256736,0.00256736,0.00256736,0.00256736,0.00256736,0.00256736,0.00256736,0.00256736,0.00256736
1017317.317,0.00258831,0.00258831,0.00258831,0.00258831,0.00258831,0.00258831,0.00258831,0.00258831,0.00258831,0.00258831,0.00258831
1025225.225,0.00260927,0.00260927,0.00260927,0.00260927,0.00260927,0.00260927,0.00260927,0.00260927,0.00260927,0.00260927,0.00260927
1033133.133,0.00263025,0.00263025,0.00263025,0.00263025,0.00263025,0.00263025,0.00263025,0.00263025,0.00263025,0.00263025,0.00263025
1041041.041,0.00265125,0.00265125,0.00265125,0.00265125,0.00265125,0.00265125,0.00265125,0.00265125,0.00265125,0.00265125,0.00265125
1048948.949,0.00267227,0.00267227,0.00267227,0.00267227,0.00267227,0.00267227,0.00267227,0.00267227,0.00267227,0.00267227,0.00267227
1056856.857,0.00269332,0.00269332,0.00269332,0.00269332,0.00269332,0.00269332,0.00269332,0.00269332,0.00269332,0.00269332,0.00269332
1064764.765,0.00271438,0.00271438,0.00271438,0.00271438,0.00271438,0.00271438,0.00271438,0.00271438,0.00271438,0.00271438,0.00271438
1072672.673,0.00273547,0.00273547,0.00273547,0.00273547,0.00273547,0.00273547,0.00273547,0.00273547,0.00273547,0.00273547,0.00273547
1080580.581,0.00275657,0.00275657,0.00275657,0.00275657,0.00275657,0.00275657,0.00275657,0.00275657,0.00275657,0.00275657,0.00275657
1088488.488,0.0027777,0.0027777,0.0027777,0.0027777,0.0027777,0.0027777,0.0027777,0.0027777,0.0027777,0.0027777,0.0027777
1096396.396,0.00279885,0.00279885,0.00279885,0.00279885,0.00279885,0.00279885,0.00279885,0.00279885,0.00279885,0.00279885,0.00279885
1104304.304,0.00282002,0.00282002,0.00282002,0.00282002,0.00282002,0.00282002,0.00282002,0.00282002,0.00282002,0.00282002,0.00282002
1112212.212,0.00284121,0.00284121,0.00284121,0.00284121,0.00284121,0.00284121,0.00284121,0.00284121,0.00284121,0.00284121,0.00284121
1120120.12,0.00286243,0.00286243,0.00286243,0.00286243,0.00286243,0.00286243,0.00286243,0.00286243,0.00286243,0.00286243,0.00286243
1128028.028,0.00288366,0.00288366,0.00288366,0.00288366,0.00288366,0.00288366,0.00288366,0.00288366,0.00288366,0.00288366,0.00288366
1135935.936,0.00290492,0.00290492,0.00290492,0.00290492,0.00290492,0.00290492,0.00290492,0.00290492,0.00290492,0.00290492,0.00290492
1143843.844,0.00292621,0.00292621,0.00292621,0.00292621,0.00292621,0.00292621,0.00292621,0.00292621,0.00292621,0.00292621,0.00292621
1151751.752,0.00294751,0.00294751,0.00294751,0.00294751,0.00294751,0.00294751,0.00294751,0.00294751,0.00294751,0.00294751,0.00294751
1159659.66,0.00296884,0.00296884,0.00296884,0.00296884,0.00296884,0.00296884,0.00296884,0.00296884,0.00296884,0.00296884,0.00296884
1167567.568,0.00299019,0.00299019,0.00299019,0.00299019,0.00299019,0.00299019,0.00299019,0.00299019,0.00299019,0.00299019,0.00299019
